,Unnamed: 0,file_name,dl_mapping_code,dl_name,bbox,cropped_fname
0,0,K-004378-005002-005094-023223_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[136, 103, 213, 448]",K-004378-005002-005094-023223_0_2_0_2_70_000_200.png-K-004378-0.png
1,1,K-004378-005002-005094-023223_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[602, 700, 217, 474]",K-004378-005002-005094-023223_0_2_0_2_75_000_200.png-K-004378-1.png
2,2,K-004378-005002-005094-023223_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[596, 700, 210, 459]",K-004378-005002-005094-023223_0_2_0_2_90_000_200.png-K-004378-2.png
3,3,K-004378-005002-005094-023223_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[81, 671, 254, 472]",K-004378-005002-005094-023223_0_2_0_2_70_000_200.png-K-005002-3.png
4,4,K-004378-005002-005094-023223_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[606, 105, 249, 472]",K-004378-005002-005094-023223_0_2_0_2_75_000_200.png-K-005002-4.png
5,5,K-004378-005002-005094-023223_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[611, 66, 258, 485]",K-004378-005002-005094-023223_0_2_0_2_90_000_200.png-K-005002-5.png
6,6,K-004378-005002-005094-023223_0_2_0_2_70_000_200.png,K-005094,삼남건조수산화알루미늄겔정,"[552, 188, 274, 271]",K-004378-005002-005094-023223_0_2_0_2_70_000_200.png-K-005094-6.png
7,7,K-004378-005002-005094-023223_0_2_0_2_75_000_200.png,K-005094,삼남건조수산화알루미늄겔정,"[108, 813, 286, 284]",K-004378-005002-005094-023223_0_2_0_2_75_000_200.png-K-005094-7.png
8,8,K-004378-005002-005094-023223_0_2_0_2_90_000_200.png,K-005094,삼남건조수산화알루미늄겔정,"[104, 799, 282, 279]",K-004378-005002-005094-023223_0_2_0_2_90_000_200.png-K-005094-8.png
9,9,K-004378-005002-005094-023223_0_2_0_2_70_000_200.png,K-023223,비타비백정 100mg/병,"[548, 564, 320, 494]",K-004378-005002-005094-023223_0_2_0_2_70_000_200.png-K-023223-9.png
10,10,K-004378-005002-005094-023223_0_2_0_2_75_000_200.png,K-023223,비타비백정 100mg/병,"[75, 175, 324, 500]",K-004378-005002-005094-023223_0_2_0_2_75_000_200.png-K-023223-10.png
11,11,K-004378-005002-005094-023223_0_2_0_2_90_000_200.png,K-023223,비타비백정 100mg/병,"[76, 141, 316, 496]",K-004378-005002-005094-023223_0_2_0_2_90_000_200.png-K-023223-11.png
12,12,K-004378-005002-006192-025438_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[78, 104, 223, 433]",K-004378-005002-006192-025438_0_2_0_2_70_000_200.png-K-004378-12.png
13,13,K-004378-005002-006192-025438_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[651, 704, 225, 473]",K-004378-005002-006192-025438_0_2_0_2_75_000_200.png-K-004378-13.png
14,14,K-004378-005002-006192-025438_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[638, 704, 231, 453]",K-004378-005002-006192-025438_0_2_0_2_90_000_200.png-K-004378-14.png
15,15,K-004378-005002-006192-025438_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[59, 621, 217, 489]",K-004378-005002-006192-025438_0_2_0_2_70_000_200.png-K-005002-15.png
16,16,K-004378-005002-006192-025438_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[658, 128, 197, 487]",K-004378-005002-006192-025438_0_2_0_2_75_000_200.png-K-005002-16.png
17,17,K-004378-005002-006192-025438_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[661, 92, 206, 513]",K-004378-005002-006192-025438_0_2_0_2_90_000_200.png-K-005002-17.png
18,18,K-004378-005002-006192-025438_0_2_0_2_70_000_200.png,K-006192,삐콤씨에프정 618.6mg/병,"[546, 624, 284, 536]",K-004378-005002-006192-025438_0_2_0_2_70_000_200.png-K-006192-18.png
19,19,K-004378-005002-006192-025438_0_2_0_2_75_000_200.png,K-006192,삐콤씨에프정 618.6mg/병,"[104, 34, 298, 575]",K-004378-005002-006192-025438_0_2_0_2_75_000_200.png-K-006192-19.png
20,20,K-004378-005002-006192-025438_0_2_0_2_90_000_200.png,K-006192,삐콤씨에프정 618.6mg/병,"[115, 40, 287, 532]",K-004378-005002-006192-025438_0_2_0_2_90_000_200.png-K-006192-20.png
21,21,K-004378-005002-006192-025438_0_2_0_2_70_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[570, 186, 247, 257]",K-004378-005002-006192-025438_0_2_0_2_70_000_200.png-K-025438-21.png
22,22,K-004378-005002-006192-025438_0_2_0_2_75_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 840, 261, 267]",K-004378-005002-006192-025438_0_2_0_2_75_000_200.png-K-025438-22.png
23,23,K-004378-005002-006192-025438_0_2_0_2_90_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 830, 255, 255]",K-004378-005002-006192-025438_0_2_0_2_90_000_200.png-K-025438-23.png
24,24,K-004378-005002-012778-025438_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[77, 102, 225, 434]",K-004378-005002-012778-025438_0_2_0_2_70_000_200.png-K-004378-24.png
25,25,K-004378-005002-012778-025438_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[651, 706, 226, 473]",K-004378-005002-012778-025438_0_2_0_2_75_000_200.png-K-004378-25.png
26,26,K-004378-005002-012778-025438_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[639, 705, 230, 454]",K-004378-005002-012778-025438_0_2_0_2_90_000_200.png-K-004378-26.png
27,27,K-004378-005002-012778-025438_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[58, 623, 218, 488]",K-004378-005002-012778-025438_0_2_0_2_70_000_200.png-K-005002-27.png
28,28,K-004378-005002-012778-025438_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[660, 131, 194, 481]",K-004378-005002-012778-025438_0_2_0_2_75_000_200.png-K-005002-28.png
29,29,K-004378-005002-012778-025438_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[663, 95, 203, 506]",K-004378-005002-012778-025438_0_2_0_2_90_000_200.png-K-005002-29.png
30,30,K-004378-005002-012778-025438_0_2_0_2_70_000_200.png,K-012778,다보타민큐정 10mg/병,"[498, 548, 326, 503]",K-004378-005002-012778-025438_0_2_0_2_70_000_200.png-K-012778-30.png
31,31,K-004378-005002-012778-025438_0_2_0_2_75_000_200.png,K-012778,다보타민큐정 10mg/병,"[117, 195, 323, 492]",K-004378-005002-012778-025438_0_2_0_2_75_000_200.png-K-012778-31.png
32,32,K-004378-005002-012778-025438_0_2_0_2_90_000_200.png,K-012778,다보타민큐정 10mg/병,"[113, 160, 329, 495]",K-004378-005002-012778-025438_0_2_0_2_90_000_200.png-K-012778-32.png
33,33,K-004378-005002-012778-025438_0_2_0_2_70_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[570, 186, 247, 258]",K-004378-005002-012778-025438_0_2_0_2_70_000_200.png-K-025438-33.png
34,34,K-004378-005002-012778-025438_0_2_0_2_75_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[112, 841, 261, 267]",K-004378-005002-012778-025438_0_2_0_2_75_000_200.png-K-025438-34.png
35,35,K-004378-005002-012778-025438_0_2_0_2_90_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 829, 254, 256]",K-004378-005002-012778-025438_0_2_0_2_90_000_200.png-K-025438-35.png
36,36,K-004378-005002-019552-025438_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[79, 100, 221, 438]",K-004378-005002-019552-025438_0_2_0_2_70_000_200.png-K-004378-36.png
37,37,K-004378-005002-019552-025438_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[651, 705, 224, 474]",K-004378-005002-019552-025438_0_2_0_2_75_000_200.png-K-004378-37.png
38,38,K-004378-005002-019552-025438_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[640, 706, 229, 456]",K-004378-005002-019552-025438_0_2_0_2_90_000_200.png-K-004378-38.png
39,39,K-004378-005002-019552-025438_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[60, 623, 212, 492]",K-004378-005002-019552-025438_0_2_0_2_70_000_200.png-K-005002-39.png
40,40,K-004378-005002-019552-025438_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[661, 129, 194, 483]",K-004378-005002-019552-025438_0_2_0_2_75_000_200.png-K-005002-40.png
41,41,K-004378-005002-019552-025438_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[665, 89, 202, 515]",K-004378-005002-019552-025438_0_2_0_2_90_000_200.png-K-005002-41.png
42,42,K-004378-005002-019552-025438_0_2_0_2_70_000_200.png,K-019552,트루비타정 60mg/병,"[542, 550, 307, 492]",K-004378-005002-019552-025438_0_2_0_2_70_000_200.png-K-019552-42.png
43,43,K-004378-005002-019552-025438_0_2_0_2_75_000_200.png,K-019552,트루비타정 60mg/병,"[94, 196, 307, 492]",K-004378-005002-019552-025438_0_2_0_2_75_000_200.png-K-019552-43.png
44,44,K-004378-005002-019552-025438_0_2_0_2_90_000_200.png,K-019552,트루비타정 60mg/병,"[96, 160, 303, 500]",K-004378-005002-019552-025438_0_2_0_2_90_000_200.png-K-019552-44.png
45,45,K-004378-005002-019552-025438_0_2_0_2_70_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[569, 186, 248, 258]",K-004378-005002-019552-025438_0_2_0_2_70_000_200.png-K-025438-45.png
46,46,K-004378-005002-019552-025438_0_2_0_2_75_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[112, 842, 262, 267]",K-004378-005002-019552-025438_0_2_0_2_75_000_200.png-K-025438-46.png
47,47,K-004378-005002-019552-025438_0_2_0_2_90_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 828, 254, 256]",K-004378-005002-019552-025438_0_2_0_2_90_000_200.png-K-025438-47.png
48,48,K-004378-005002-022627-025438_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[76, 104, 213, 431]",K-004378-005002-022627-025438_0_2_0_2_70_000_200.png-K-004378-48.png
49,49,K-004378-005002-022627-025438_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[667, 701, 215, 481]",K-004378-005002-022627-025438_0_2_0_2_75_000_200.png-K-004378-49.png
50,50,K-004378-005002-022627-025438_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[652, 706, 221, 454]",K-004378-005002-022627-025438_0_2_0_2_90_000_200.png-K-004378-50.png
51,51,K-004378-005002-022627-025438_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[69, 619, 212, 491]",K-004378-005002-022627-025438_0_2_0_2_70_000_200.png-K-005002-51.png
52,52,K-004378-005002-022627-025438_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[650, 123, 200, 491]",K-004378-005002-022627-025438_0_2_0_2_75_000_200.png-K-005002-52.png
53,53,K-004378-005002-022627-025438_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[664, 99, 195, 503]",K-004378-005002-022627-025438_0_2_0_2_90_000_200.png-K-005002-53.png
54,54,K-004378-005002-022627-025438_0_2_0_2_70_000_200.png,K-022627,메가파워정 90mg/병,"[518, 572, 313, 488]",K-004378-005002-022627-025438_0_2_0_2_70_000_200.png-K-022627-54.png
55,55,K-004378-005002-022627-025438_0_2_0_2_75_000_200.png,K-022627,메가파워정 90mg/병,"[114, 186, 302, 476]",K-004378-005002-022627-025438_0_2_0_2_75_000_200.png-K-022627-55.png
56,56,K-004378-005002-022627-025438_0_2_0_2_90_000_200.png,K-022627,메가파워정 90mg/병,"[111, 153, 314, 475]",K-004378-005002-022627-025438_0_2_0_2_90_000_200.png-K-022627-56.png
57,57,K-004378-005002-022627-025438_0_2_0_2_70_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[562, 178, 245, 251]",K-004378-005002-022627-025438_0_2_0_2_70_000_200.png-K-025438-57.png
58,58,K-004378-005002-022627-025438_0_2_0_2_75_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[119, 857, 261, 264]",K-004378-005002-022627-025438_0_2_0_2_75_000_200.png-K-025438-58.png
59,59,K-004378-005002-022627-025438_0_2_0_2_90_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[118, 839, 258, 257]",K-004378-005002-022627-025438_0_2_0_2_90_000_200.png-K-025438-59.png
60,60,K-004378-005002-023223-025438_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[79, 100, 222, 440]",K-004378-005002-023223-025438_0_2_0_2_70_000_200.png-K-004378-60.png
61,61,K-004378-005002-023223-025438_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[653, 703, 223, 477]",K-004378-005002-023223-025438_0_2_0_2_75_000_200.png-K-004378-61.png
62,62,K-004378-005002-023223-025438_0_2_0_2_90_000_200.png,K-004378,타이레놀정500mg,"[639, 703, 230, 460]",K-004378-005002-023223-025438_0_2_0_2_90_000_200.png-K-004378-62.png
63,63,K-004378-005002-023223-025438_0_2_0_2_70_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[89, 677, 272, 468]",K-004378-005002-023223-025438_0_2_0_2_70_000_200.png-K-005002-63.png
64,64,K-004378-005002-023223-025438_0_2_0_2_75_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[584, 109, 264, 461]",K-004378-005002-023223-025438_0_2_0_2_75_000_200.png-K-005002-64.png
65,65,K-004378-005002-023223-025438_0_2_0_2_90_000_200.png,K-005002,엘도스캡슐(에르도스테인)(수출용),"[590, 73, 259, 473]",K-004378-005002-023223-025438_0_2_0_2_90_000_200.png-K-005002-65.png
66,66,K-004378-005002-023223-025438_0_2_0_2_70_000_200.png,K-023223,비타비백정 100mg/병,"[457, 624, 479, 349]",K-004378-005002-023223-025438_0_2_0_2_70_000_200.png-K-023223-66.png
67,67,K-004378-005002-023223-025438_0_2_0_2_75_000_200.png,K-023223,비타비백정 100mg/병,"[24, 269, 455, 348]",K-004378-005002-023223-025438_0_2_0_2_75_000_200.png-K-023223-67.png
68,68,K-004378-005002-023223-025438_0_2_0_2_90_000_200.png,K-023223,비타비백정 100mg/병,"[13, 239, 470, 349]",K-004378-005002-023223-025438_0_2_0_2_90_000_200.png-K-023223-68.png
69,69,K-004378-005002-023223-025438_0_2_0_2_70_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[569, 186, 248, 258]",K-004378-005002-023223-025438_0_2_0_2_70_000_200.png-K-025438-69.png
70,70,K-004378-005002-023223-025438_0_2_0_2_75_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 843, 263, 266]",K-004378-005002-023223-025438_0_2_0_2_75_000_200.png-K-025438-70.png
71,71,K-004378-005002-023223-025438_0_2_0_2_90_000_200.png,K-025438,큐시드정 31.5mg/PTP,"[111, 828, 255, 256]",K-004378-005002-023223-025438_0_2_0_2_90_000_200.png-K-025438-71.png
72,72,K-004378-005094-006192-013161_0_2_0_2_70_000_200.png,K-004378,타이레놀정500mg,"[128, 104, 220, 445]",K-004378-005094-006192-013161_0_2_0_2_70_000_200.png-K-004378-72.png
73,73,K-004378-005094-006192-013161_0_2_0_2_75_000_200.png,K-004378,타이레놀정500mg,"[606, 700, 221, 473]",K-004378-005094-006192-013161_0_2_0_2_75_000_200.png-K-004378-73.png
